Godot Engine v4.6.2.stable.official.71f334935 - https://godotengine.org
D3D12 12_0 - Forward+ - Using Device #0: NVIDIA - NVIDIA GeForce GTX 1060 6GB

[FrameBudget] streaming=1.5ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.5ms(60) world.mountain_native_mask_visual_upload=0.1ms(60)
[FrameBudget] streaming=1.9ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.9ms/6.0ms world.streaming_v0=1.9ms(60) world.mountain_native_mask_visual_upload=0.1ms(60)
[FrameBudget] streaming=2.0ms topology=0.0ms visual=0.0ms spawn=0.0ms total=2.0ms/6.0ms world.streaming_v0=2.0ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.7ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.8ms/6.0ms world.streaming_v0=1.7ms(60) world.mountain_native_mask_visual_upload=0.1ms(60)
[FrameBudget] streaming=1.7ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.8ms/6.0ms world.streaming_v0=1.7ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=2.0ms topology=0.0ms visual=0.1ms spawn=0.0ms total=2.0ms/6.0ms world.streaming_v0=2.0ms(60) world.mountain_native_mask_visual_upload=0.1ms(60)
[FrameBudget] streaming=1.6ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.7ms/6.0ms world.streaming_v0=1.6ms(60) world.mountain_native_mask_visual_upload=0.1ms(60)
[FrameBudget] streaming=1.5ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.5ms(60) world.mountain_native_mask_visual_upload=0.1ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.5ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.5ms(60) world.mountain_native_mask_visual_upload=0.1ms(60)
[FrameBudget] streaming=1.5ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.5ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.1ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.5ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.6ms/6.0ms world.streaming_v0=1.5ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.6ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.6ms/6.0ms world.streaming_v0=1.6ms(60) world.mountain_native_mask_visual_upload=0.1ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.5ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.5ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.5ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.5ms(60) world.mountain_native_mask_visual_upload=0.1ms(60)
[FrameBudget] streaming=1.5ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.5ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.3ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.3ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.1ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.1ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.5ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.5ms(60) world.mountain_native_mask_visual_upload=0.1ms(59)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(59)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(59)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(59)
[FrameBudget] streaming=1.3ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.3ms/6.0ms world.streaming_v0=1.3ms(60) world.mountain_native_mask_visual_upload=0.0ms(60)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(59)
[FrameBudget] streaming=1.5ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.5ms(60) world.mountain_native_mask_visual_upload=0.1ms(59)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(59)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(59)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(59)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(59)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(59)
[FrameBudget] streaming=1.6ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.7ms/6.0ms world.streaming_v0=1.6ms(60) world.mountain_native_mask_visual_upload=0.1ms(59)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(59)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(59)
[FrameBudget] streaming=1.5ms topology=0.0ms visual=0.1ms spawn=0.0ms total=1.5ms/6.0ms world.streaming_v0=1.5ms(60) world.mountain_native_mask_visual_upload=0.1ms(59)
[FrameBudget] streaming=1.4ms topology=0.0ms visual=0.0ms spawn=0.0ms total=1.4ms/6.0ms world.streaming_v0=1.4ms(60) world.mountain_native_mask_visual_upload=0.0ms(59)
streaming_perf_probe: offset=(-7000.0, -3000.0) frames=3600 elapsed_ms=59993
WARNING: ObjectDB instances leaked at exit (run with --verbose for details).
   at: cleanup (core/object/object.cpp:2641)
ERROR: 7 resources still in use at exit (run with --verbose for details).
   at: clear (core/io/resource.cpp:810)
